"fecha","indicador","valor"
"1983-07-01","promedio_ch4_ppb","1625.93"
"1983-08-01","promedio_ch4_ppb","1628.08"
"1983-09-01","promedio_ch4_ppb","1638.41"
"1983-10-01","promedio_ch4_ppb","1644.8"
"1983-11-01","promedio_ch4_ppb","1642.62"
"1983-12-01","promedio_ch4_ppb","1639.53"
"1984-01-01","promedio_ch4_ppb","1638.77"
"1984-02-01","promedio_ch4_ppb","1638.87"
"1984-03-01","promedio_ch4_ppb","1640.82"
"1984-04-01","promedio_ch4_ppb","1643.96"
"1984-05-01","promedio_ch4_ppb","1643.16"
"1984-06-01","promedio_ch4_ppb","1639.72"
"1984-07-01","promedio_ch4_ppb","1637.97"
"1984-08-01","promedio_ch4_ppb","1641.7"
"1984-09-01","promedio_ch4_ppb","1650.59"
"1984-10-01","promedio_ch4_ppb","1654.59"
"1984-11-01","promedio_ch4_ppb","1653.82"
"1984-12-01","promedio_ch4_ppb","1656.19"
"1985-01-01","promedio_ch4_ppb","1655.58"
"1985-02-01","promedio_ch4_ppb","1652.25"
"1985-03-01","promedio_ch4_ppb","1654.61"
"1985-04-01","promedio_ch4_ppb","1658.18"
"1985-05-01","promedio_ch4_ppb","1655.89"
"1985-06-01","promedio_ch4_ppb","1650.04"
"1985-07-01","promedio_ch4_ppb","1646.8"
"1985-08-01","promedio_ch4_ppb","1652.26"
"1985-09-01","promedio_ch4_ppb","1662.48"
"1985-10-01","promedio_ch4_ppb","1667.5"
"1985-11-01","promedio_ch4_ppb","1666.83"
"1985-12-01","promedio_ch4_ppb","1666.03"
"1986-01-01","promedio_ch4_ppb","1666.26"
"1986-02-01","promedio_ch4_ppb","1666.93"
"1986-03-01","promedio_ch4_ppb","1669.27"
"1986-04-01","promedio_ch4_ppb","1670.8"
"1986-05-01","promedio_ch4_ppb","1668.45"
"1986-06-01","promedio_ch4_ppb","1664.76"
"1986-07-01","promedio_ch4_ppb","1662.33"
"1986-08-01","promedio_ch4_ppb","1664.39"
"1986-09-01","promedio_ch4_ppb","1672.57"
