"iso3","continente_fundar","anio","valor_en_ton"
"AFG","Asia","1949","14656.0"
"AFG","Asia","1950","84272.0"
"AFG","Asia","1951","91600.0"
"AFG","Asia","1952","91600.0"
"AFG","Asia","1953","106256.0"
"AFG","Asia","1954","106256.0"
"AFG","Asia","1955","153888.0"
"AFG","Asia","1956","183200.0"
"AFG","Asia","1957","293120.0"
"AFG","Asia","1958","329760.0"
"AFG","Asia","1959","384571.0"
"AFG","Asia","1960","413885.0"
"AFG","Asia","1961","490798.0"
"AFG","Asia","1962","688594.0"
"AFG","Asia","1963","706736.0"
"AFG","Asia","1964","838551.0"
"AFG","Asia","1965","1006917.0"
"AFG","Asia","1966","1091159.0"
"AFG","Asia","1967","1281865.0"
"AFG","Asia","1968","1223391.0"
"AFG","Asia","1969","941232.0"
"AFG","Asia","1970","1670397.0"
"AFG","Asia","1971","1893554.0"
"AFG","Asia","1972","1530347.0"
"AFG","Asia","1973","1635454.0"
"AFG","Asia","1974","1913152.0"
"AFG","Asia","1975","2121383.0"
"AFG","Asia","1976","1980859.0"
"AFG","Asia","1977","2384175.0"
"AFG","Asia","1978","2153300.0"
"AFG","Asia","1979","2232754.0"
"AFG","Asia","1980","1756302.0"
"AFG","Asia","1981","1978463.0"
"AFG","Asia","1982","2094580.9"
"AFG","Asia","1983","2519954.0"
"AFG","Asia","1984","2821540.0"
"AFG","Asia","1985","3501422.0"
"AFG","Asia","1986","3133645.0"
"AFG","Asia","1987","3113826.0"
"AFG","Asia","1988","2856896.0"
"AFG","Asia","1989","2764855.0"
"AFG","Asia","1990","2024326.1"
"AFG","Asia","1991","1914301.0"
"AFG","Asia","1992","1482054.0"
"AFG","Asia","1993","1486943.0"
"AFG","Asia","1994","1453829.0"
"AFG","Asia","1995","1417327.0"
"AFG","Asia","1996","1370104.0"
"AFG","Asia","1997","1304152.0"
"AFG","Asia","1998","1278504.0"
"AFG","Asia","1999","1091640.0"
"AFG","Asia","2000","1047127.94"
"AFG","Asia","2001","1069098.0"
"AFG","Asia","2002","1340995.0"
"AFG","Asia","2003","1559602.0"
"AFG","Asia","2004","1237247.0"
"AFG","Asia","2005","1889507.0"
"AFG","Asia","2006","2159318.0"
"AFG","Asia","2007","2799909.0"
"AFG","Asia","2008","4254477.0"
"AFG","Asia","2009","6391888.0"
"AFG","Asia","2010","8364803.5"
"AFG","Asia","2011","11838316.0"
"AFG","Asia","2012","10035314.0"
"AFG","Asia","2013","9250510.0"
"AFG","Asia","2014","9170309.0"
"AFG","Asia","2015","9791093.0"
"AFG","Asia","2016","9067598.0"
"AFG","Asia","2017","9867969.0"
"AFG","Asia","2018","10818048.0"
"AFG","Asia","2019","11081621.0"
"AFG","Asia","2020","11681766.0"
"AFG","Asia","2021","11874211.0"
"ALB","Europa","1933","7328.0"
"ALB","Europa","1934","7328.0"
"ALB","Europa","1935","18320.0"
"ALB","Europa","1936","128209.99"
"ALB","Europa","1937","296725.0"
"ALB","Europa","1938","348080.0"
"ALB","Europa","1939","432352.0"
"ALB","Europa","1940","692496.0"
"ALB","Europa","1941","626485.0"
"ALB","Europa","1942","743792.0"
"ALB","Europa","1943","461664.0"
"ALB","Europa","1944","153888.0"
"ALB","Europa","1945","120912.0"
"ALB","Europa","1946","483648.0"
"ALB","Europa","1947","926992.0"
"ALB","Europa","1948","703488.0"
"ALB","Europa","1949","1014928.0"
"ALB","Europa","1950","296725.0"
"ALB","Europa","1951","402981.0"
"ALB","Europa","1952","373669.0"
"ALB","Europa","1953","413973.0"
"ALB","Europa","1954","501909.03"
"ALB","Europa","1955","663006.0"
"ALB","Europa","1956","838789.0"
"ALB","Europa","1957","1505607.0"
"ALB","Europa","1958","1201465.0"
"ALB","Europa","1959","1443319.0"
"ALB","Europa","1960","2022231.1"
"ALB","Europa","1961","2278533.0"
"ALB","Europa","1962","2461733.0"
"ALB","Europa","1963","2080617.0"
"ALB","Europa","1964","2014694.9"
"ALB","Europa","1965","2172159.0"
"ALB","Europa","1966","2549579.0"
"ALB","Europa","1967","2677493.0"
"ALB","Europa","1968","3069214.0"
"ALB","Europa","1969","3241303.0"
"ALB","Europa","1970","3739486.0"
"ALB","Europa","1971","4348023.0"
"ALB","Europa","1972","5637977.0"
"ALB","Europa","1973","5286406.0"
"ALB","Europa","1974","4341512.0"
"ALB","Europa","1975","4591172.0"
"ALB","Europa","1976","4947198.0"
"ALB","Europa","1977","5717343.0"
"ALB","Europa","1978","6491245.0"
"ALB","Europa","1979","7583971.0"
"ALB","Europa","1980","5170837.0"
"ALB","Europa","1981","7339622.0"
"ALB","Europa","1982","7307607.0"
"ALB","Europa","1983","7630809.0"
"ALB","Europa","1984","7825903.0"
"ALB","Europa","1985","7881540.0"
"ALB","Europa","1986","8058077.0"
"ALB","Europa","1987","7447081.0"
"ALB","Europa","1988","7329222.0"
"ALB","Europa","1989","8986169.0"
"ALB","Europa","1990","5520602.0"
"ALB","Europa","1991","4290226.0"
"ALB","Europa","1992","2517116.0"
"ALB","Europa","1993","2337999.0"
"ALB","Europa","1994","1923806.0"
"ALB","Europa","1995","2089065.1"
"ALB","Europa","1996","2017508.0"
"ALB","Europa","1997","1543009.0"
"ALB","Europa","1998","1754709.0"
"ALB","Europa","1999","2986196.0"
"ALB","Europa","2000","3024926.0"
"ALB","Europa","2001","3220656.0"
"ALB","Europa","2002","3748272.0"
"ALB","Europa","2003","4303499.0"
"ALB","Europa","2004","4176684.0"
"ALB","Europa","2005","4261413.0"
"ALB","Europa","2006","3910715.0"
"ALB","Europa","2007","3948970.0"
"ALB","Europa","2008","4397043.0"
"ALB","Europa","2009","4406552.0"
"ALB","Europa","2010","4783865.0"
"ALB","Europa","2011","5314676.0"
"ALB","Europa","2012","4850060.0"
"ALB","Europa","2013","5287466.0"
"ALB","Europa","2014","5999658.0"
"ALB","Europa","2015","4712137.0"
"ALB","Europa","2016","4631977.0"
"ALB","Europa","2017","5564149.0"
"ALB","Europa","2018","4984045.0"
"ALB","Europa","2019","4947485.0"
