"fecha","indicador","valor"
"1850-01-01","anomalia_temperatura_deg_c","-0.35138"
"1850-02-01","anomalia_temperatura_deg_c","-0.34437"
"1850-03-01","anomalia_temperatura_deg_c","-0.58001"
"1850-04-01","anomalia_temperatura_deg_c","-0.34222"
"1850-05-01","anomalia_temperatura_deg_c","-0.25093"
"1850-06-01","anomalia_temperatura_deg_c","-0.25486"
"1850-07-01","anomalia_temperatura_deg_c","-0.20818"
"1850-08-01","anomalia_temperatura_deg_c","-0.31233"
"1850-09-01","anomalia_temperatura_deg_c","-0.34318"
"1850-10-01","anomalia_temperatura_deg_c","-0.35998"
"1850-11-01","anomalia_temperatura_deg_c","-0.13705"
"1850-12-01","anomalia_temperatura_deg_c","-0.22955"
"1851-01-01","anomalia_temperatura_deg_c","-0.27433"
"1851-02-01","anomalia_temperatura_deg_c","-0.29522"
"1851-03-01","anomalia_temperatura_deg_c","-0.25086"
"1851-04-01","anomalia_temperatura_deg_c","-0.42784"
"1851-05-01","anomalia_temperatura_deg_c","-0.28696"
"1851-06-01","anomalia_temperatura_deg_c","-0.27375"
"1851-07-01","anomalia_temperatura_deg_c","-0.17794"
"1851-08-01","anomalia_temperatura_deg_c","-0.239"
"1851-09-01","anomalia_temperatura_deg_c","-0.10052"
"1851-10-01","anomalia_temperatura_deg_c","-0.08082"
"1851-11-01","anomalia_temperatura_deg_c","0.08083"
"1851-12-01","anomalia_temperatura_deg_c","0.00602"
"1852-01-01","anomalia_temperatura_deg_c","-0.31058"
"1852-02-01","anomalia_temperatura_deg_c","-0.43518"
"1852-03-01","anomalia_temperatura_deg_c","-0.35715"
"1852-04-01","anomalia_temperatura_deg_c","-0.36138"
"1852-05-01","anomalia_temperatura_deg_c","-0.2173"
"1852-06-01","anomalia_temperatura_deg_c","-0.04449"
"1852-07-01","anomalia_temperatura_deg_c","0.03457"
"1852-08-01","anomalia_temperatura_deg_c","-0.22614"
"1852-09-01","anomalia_temperatura_deg_c","-0.07795"
"1852-10-01","anomalia_temperatura_deg_c","-0.11411"
"1852-11-01","anomalia_temperatura_deg_c","-0.0983"
"1852-12-01","anomalia_temperatura_deg_c","0.00734"
"1853-01-01","anomalia_temperatura_deg_c","-0.20432"
"1853-02-01","anomalia_temperatura_deg_c","-0.18183"
"1853-03-01","anomalia_temperatura_deg_c","-0.0639"
"1853-04-01","anomalia_temperatura_deg_c","-0.21128"
"1853-05-01","anomalia_temperatura_deg_c","-0.21797"
"1853-06-01","anomalia_temperatura_deg_c","-0.13847"
"1853-07-01","anomalia_temperatura_deg_c","-0.0932"
"1853-08-01","anomalia_temperatura_deg_c","-0.19805"
"1853-09-01","anomalia_temperatura_deg_c","-0.34993"
"1853-10-01","anomalia_temperatura_deg_c","-0.38368"
"1853-11-01","anomalia_temperatura_deg_c","-0.18185"
"1853-12-01","anomalia_temperatura_deg_c","-0.30726"
"1854-01-01","anomalia_temperatura_deg_c","-0.22292"
"1854-02-01","anomalia_temperatura_deg_c","-0.26708"
"1854-03-01","anomalia_temperatura_deg_c","-0.22377"
"1854-04-01","anomalia_temperatura_deg_c","-0.26744"
"1854-05-01","anomalia_temperatura_deg_c","-0.26123"
"1854-06-01","anomalia_temperatura_deg_c","-0.17915"
"1854-07-01","anomalia_temperatura_deg_c","-0.33817"
"1854-08-01","anomalia_temperatura_deg_c","-0.21838"
"1854-09-01","anomalia_temperatura_deg_c","-0.13339"
"1854-10-01","anomalia_temperatura_deg_c","-0.28038"
"1854-11-01","anomalia_temperatura_deg_c","-0.34462"
"1854-12-01","anomalia_temperatura_deg_c","-0.4846"
"1855-01-01","anomalia_temperatura_deg_c","-0.17154"
"1855-02-01","anomalia_temperatura_deg_c","-0.18817"
"1855-03-01","anomalia_temperatura_deg_c","-0.19031"
"1855-04-01","anomalia_temperatura_deg_c","-0.30872"
"1855-05-01","anomalia_temperatura_deg_c","-0.43554"
"1855-06-01","anomalia_temperatura_deg_c","-0.32945"
"1855-07-01","anomalia_temperatura_deg_c","-0.31505"
"1855-08-01","anomalia_temperatura_deg_c","-0.17222"
"1855-09-01","anomalia_temperatura_deg_c","-0.27445"
"1855-10-01","anomalia_temperatura_deg_c","-0.18086"
"1855-11-01","anomalia_temperatura_deg_c","-0.18258"
"1855-12-01","anomalia_temperatura_deg_c","-0.15191"
"1856-01-01","anomalia_temperatura_deg_c","-0.11203"
"1856-02-01","anomalia_temperatura_deg_c","-0.23448"
"1856-03-01","anomalia_temperatura_deg_c","-0.19498"
"1856-04-01","anomalia_temperatura_deg_c","-0.34289"
"1856-05-01","anomalia_temperatura_deg_c","-0.11416"
"1856-06-01","anomalia_temperatura_deg_c","-0.31457"
"1856-07-01","anomalia_temperatura_deg_c","-0.37882"
"1856-08-01","anomalia_temperatura_deg_c","-0.27994"
"1856-09-01","anomalia_temperatura_deg_c","-0.32717"
"1856-10-01","anomalia_temperatura_deg_c","-0.35628"
"1856-11-01","anomalia_temperatura_deg_c","-0.45266"
"1856-12-01","anomalia_temperatura_deg_c","-0.55614"
"1857-01-01","anomalia_temperatura_deg_c","-0.4235"
"1857-02-01","anomalia_temperatura_deg_c","-0.37269"
"1857-03-01","anomalia_temperatura_deg_c","-0.54736"
"1857-04-01","anomalia_temperatura_deg_c","-0.47706"
"1857-05-01","anomalia_temperatura_deg_c","-0.43257"
"1857-06-01","anomalia_temperatura_deg_c","-0.33721"
"1857-07-01","anomalia_temperatura_deg_c","-0.52979"
"1857-08-01","anomalia_temperatura_deg_c","-0.37461"
"1857-09-01","anomalia_temperatura_deg_c","-0.32948"
"1857-10-01","anomalia_temperatura_deg_c","-0.41461"
"1857-11-01","anomalia_temperatura_deg_c","-0.50949"
"1857-12-01","anomalia_temperatura_deg_c","-0.38063"
"1858-01-01","anomalia_temperatura_deg_c","-0.45996"
"1858-02-01","anomalia_temperatura_deg_c","-0.40697"
"1858-03-01","anomalia_temperatura_deg_c","-0.43079"
"1858-04-01","anomalia_temperatura_deg_c","-0.53212"
"1858-05-01","anomalia_temperatura_deg_c","-0.63264"
"1858-06-01","anomalia_temperatura_deg_c","-0.55077"
"1858-07-01","anomalia_temperatura_deg_c","-0.34396"
"1858-08-01","anomalia_temperatura_deg_c","-0.26664"
"1858-09-01","anomalia_temperatura_deg_c","-0.30347"
"1858-10-01","anomalia_temperatura_deg_c","-0.22162"
"1858-11-01","anomalia_temperatura_deg_c","-0.27562"
"1858-12-01","anomalia_temperatura_deg_c","-0.40502"
"1859-01-01","anomalia_temperatura_deg_c","-0.36709"
"1859-02-01","anomalia_temperatura_deg_c","-0.31828"
"1859-03-01","anomalia_temperatura_deg_c","-0.35083"
"1859-04-01","anomalia_temperatura_deg_c","-0.16511"
"1859-05-01","anomalia_temperatura_deg_c","-0.22342"
"1859-06-01","anomalia_temperatura_deg_c","-0.22587"
"1859-07-01","anomalia_temperatura_deg_c","-0.36582"
"1859-08-01","anomalia_temperatura_deg_c","-0.2069"
"1859-09-01","anomalia_temperatura_deg_c","-0.44393"
"1859-10-01","anomalia_temperatura_deg_c","-0.26037"
"1859-11-01","anomalia_temperatura_deg_c","-0.28356"
"1859-12-01","anomalia_temperatura_deg_c","-0.1364"
"1860-01-01","anomalia_temperatura_deg_c","-0.17846"
"1860-02-01","anomalia_temperatura_deg_c","-0.23669"
"1860-03-01","anomalia_temperatura_deg_c","-0.20016"
"1860-04-01","anomalia_temperatura_deg_c","-0.21936"
"1860-05-01","anomalia_temperatura_deg_c","-0.28384"
"1860-06-01","anomalia_temperatura_deg_c","-0.28902"
"1860-07-01","anomalia_temperatura_deg_c","-0.26059"
"1860-08-01","anomalia_temperatura_deg_c","-0.26757"
"1860-09-01","anomalia_temperatura_deg_c","-0.12231"
"1860-10-01","anomalia_temperatura_deg_c","-0.27847"
"1860-11-01","anomalia_temperatura_deg_c","-0.26489"
"1860-12-01","anomalia_temperatura_deg_c","-0.24107"
"1861-01-01","anomalia_temperatura_deg_c","-0.30068"
"1861-02-01","anomalia_temperatura_deg_c","-0.56882"
"1861-03-01","anomalia_temperatura_deg_c","-0.59085"
"1861-04-01","anomalia_temperatura_deg_c","-0.15795"
"1861-05-01","anomalia_temperatura_deg_c","-0.52823"
"1861-06-01","anomalia_temperatura_deg_c","-0.33718"
"1861-07-01","anomalia_temperatura_deg_c","-0.43626"
"1861-08-01","anomalia_temperatura_deg_c","-0.24761"
"1861-09-01","anomalia_temperatura_deg_c","-0.288"
"1861-10-01","anomalia_temperatura_deg_c","-0.34319"
"1861-11-01","anomalia_temperatura_deg_c","-0.29902"
"1861-12-01","anomalia_temperatura_deg_c","-0.2736"
"1862-01-01","anomalia_temperatura_deg_c","-0.45068"
"1862-02-01","anomalia_temperatura_deg_c","-0.54476"
"1862-03-01","anomalia_temperatura_deg_c","-0.35149"
"1862-04-01","anomalia_temperatura_deg_c","-0.22309"
"1862-05-01","anomalia_temperatura_deg_c","-0.16218"
"1862-06-01","anomalia_temperatura_deg_c","-0.32514"
"1862-07-01","anomalia_temperatura_deg_c","-0.3435"
"1862-08-01","anomalia_temperatura_deg_c","-0.67483"
"1862-09-01","anomalia_temperatura_deg_c","-0.49544"
"1862-10-01","anomalia_temperatura_deg_c","-0.30671"
"1862-11-01","anomalia_temperatura_deg_c","-0.42173"
"1862-12-01","anomalia_temperatura_deg_c","-0.46687"
