"sector","anio","subsector","indicador","valor"
"Energía","2018","Industrias de la energía","valor_en_mtco2e","58.62703942"
"Energía","2018","Industrias manufactureras y de la construcción","valor_en_mtco2e","33.10153964"
"Energía","2018","Transporte","valor_en_mtco2e","51.03338087"
"Energía","2018","Otros sectores","valor_en_mtco2e","31.91984898"
"Energía","2018","Emisiones fugitivas provenientes de la fabricación de combustibles","valor_en_mtco2e","10.81109119"
"Procesos industriales y uso de productos","2018","Industria de los minerales","valor_en_mtco2e","7.409612001"
"Procesos industriales y uso de productos","2018","Industria química","valor_en_mtco2e","2.424907305"
"Procesos industriales y uso de productos","2018","Industria de los metales","valor_en_mtco2e","6.094298837"
"Procesos industriales y uso de productos","2018","Otros ","valor_en_mtco2e","4.840626153"
"AGSyOUT","2018","Ganado","valor_en_mtco2e","57.85076653"
"AGSyOUT","2018","Tierra","valor_en_mtco2e","39.28364883"
"AGSyOUT","2018","Emisiones de la quema de biomasa","valor_en_mtco2e","4.524768126"
"AGSyOUT","2018","Emisiones directas e indirectas de N2O y otros","valor_en_mtco2e","41.53635704"
"Residuos","2018","Residuos sólidos","valor_en_mtco2e","9.732614186"
"Residuos","2018","Aguas residuales","valor_en_mtco2e","6.699294901"
"Energía","2018","Industrias de la energía","valor_en_porcent","16.0231415"
"Energía","2018","Industrias manufactureras y de la construcción","valor_en_porcent","9.046860607"
"Energía","2018","Transporte","valor_en_porcent","13.94774648"
"Energía","2018","Otros sectores","valor_en_porcent","8.723897059"
"Energía","2018","Emisiones fugitivas provenientes de la fabricación de combustibles","valor_en_porcent","2.954739751"
"Procesos industriales y uso de productos","2018","Industria de los minerales","valor_en_porcent","2.025093928"
"Procesos industriales y uso de productos","2018","Industria química","valor_en_porcent","0.662742537"
"Procesos industriales y uso de productos","2018","Industria de los metales","valor_en_porcent","1.665610503"
"Procesos industriales y uso de productos","2018","Otros ","valor_en_porcent","1.322973811"
"AGSyOUT","2018","Ganado","valor_en_porcent","15.8109812"
"AGSyOUT","2018","Tierra","valor_en_porcent","10.73647024"
"AGSyOUT","2018","Emisiones de la quema de biomasa","valor_en_porcent","1.23664781"
"AGSyOUT","2018","Emisiones directas e indirectas de N2O y otros","valor_en_porcent","11.35214967"
"Residuos","2018","Residuos sólidos","valor_en_porcent","2.65998515"
"Residuos","2018","Aguas residuales","valor_en_porcent","1.830959762"
