"anio","tipo_energia","valor_en_twh","porcentaje"
"1800","Biocombustibles","0.0","0.0"
"1800","Biomasa tradicional ","5556.0","98.28409694"
"1800","Carbón","97.0","1.71590306"
"1800","Eólica","0.0","0.0"
"1800","Gas natural","0.0","0.0"
"1800","Hidro","0.0","0.0"
"1800","Nuclear","0.0","0.0"
"1800","Otras renovables","0.0","0.0"
"1800","Petróleo","0.0","0.0"
"1800","Solar","0.0","0.0"
"1800","Total","5653.0","100.0"
"1810","Biocombustibles","0.0","0.0"
"1810","Biomasa tradicional ","5833.0","97.85270928"
"1810","Carbón","128.0","2.147290723"
"1810","Eólica","0.0","0.0"
"1810","Gas natural","0.0","0.0"
"1810","Hidro","0.0","0.0"
"1810","Nuclear","0.0","0.0"
"1810","Otras renovables","0.0","0.0"
"1810","Petróleo","0.0","0.0"
"1810","Solar","0.0","0.0"
"1810","Total","5961.0","100.0"
"1820","Biocombustibles","0.0","0.0"
"1820","Biomasa tradicional ","6111.0","97.55747126"
"1820","Carbón","153.0","2.442528736"
"1820","Eólica","0.0","0.0"
"1820","Gas natural","0.0","0.0"
"1820","Hidro","0.0","0.0"
"1820","Nuclear","0.0","0.0"
"1820","Otras renovables","0.0","0.0"
"1820","Petróleo","0.0","0.0"
"1820","Solar","0.0","0.0"
"1820","Total","6264.0","100.0"
"1830","Biocombustibles","0.0","0.0"
"1830","Biomasa tradicional ","6389.0","96.03186532"
"1830","Carbón","264.0","3.968134676"
"1830","Eólica","0.0","0.0"
"1830","Gas natural","0.0","0.0"
"1830","Hidro","0.0","0.0"
"1830","Nuclear","0.0","0.0"
"1830","Otras renovables","0.0","0.0"
"1830","Petróleo","0.0","0.0"
"1830","Solar","0.0","0.0"
"1830","Total","6653.0","100.0"
"1840","Biocombustibles","0.0","0.0"
"1840","Biomasa tradicional ","6944.0","95.12328767"
"1840","Carbón","356.0","4.876712329"
"1840","Eólica","0.0","0.0"
"1840","Gas natural","0.0","0.0"
"1840","Hidro","0.0","0.0"
"1840","Nuclear","0.0","0.0"
"1840","Otras renovables","0.0","0.0"
"1840","Petróleo","0.0","0.0"
"1840","Solar","0.0","0.0"
"1840","Total","7300.0","100.0"
"1850","Biocombustibles","0.0","0.0"
"1850","Biomasa tradicional ","7222.0","92.69670132"
"1850","Carbón","569.0","7.303298678"
"1850","Eólica","0.0","0.0"
"1850","Gas natural","0.0","0.0"
"1850","Hidro","0.0","0.0"
"1850","Nuclear","0.0","0.0"
"1850","Otras renovables","0.0","0.0"
"1850","Petróleo","0.0","0.0"
"1850","Solar","0.0","0.0"
"1850","Total","7791.0","100.0"
"1860","Biocombustibles","0.0","0.0"
"1860","Biomasa tradicional ","6944.0","86.74578389"
"1860","Carbón","1061.0","13.25421611"
"1860","Eólica","0.0","0.0"
"1860","Gas natural","0.0","0.0"
"1860","Hidro","0.0","0.0"
"1860","Nuclear","0.0","0.0"
"1860","Otras renovables","0.0","0.0"
"1860","Petróleo","0.0","0.0"
"1860","Solar","0.0","0.0"
"1860","Total","8005.0","100.0"
"1870","Biocombustibles","0.0","0.0"
"1870","Biomasa tradicional ","6944.0","80.81936685"
"1870","Carbón","1642.0","19.11080074"
"1870","Eólica","0.0","0.0"
"1870","Gas natural","0.0","0.0"
"1870","Hidro","0.0","0.0"
"1870","Nuclear","0.0","0.0"
"1870","Otras renovables","0.0","0.0"
"1870","Petróleo","6.0","0.069832402"
"1870","Solar","0.0","0.0"
"1870","Total","8592.0","100.0"
"1880","Biocombustibles","0.0","0.0"
"1880","Biomasa tradicional ","6944.0","72.94883916"
"1880","Carbón","2542.0","26.70448577"
"1880","Eólica","0.0","0.0"
"1880","Gas natural","0.0","0.0"
"1880","Hidro","0.0","0.0"
"1880","Nuclear","0.0","0.0"
"1880","Otras renovables","0.0","0.0"
"1880","Petróleo","33.0","0.346675071"
"1880","Solar","0.0","0.0"
"1880","Total","9519.0","100.0"
"1890","Biocombustibles","0.0","0.0"
"1890","Biomasa tradicional ","6667.0","62.40237117"
"1890","Carbón","3856.0","36.0917269"
"1890","Eólica","0.0","0.0"
"1890","Gas natural","33.0","0.308876293"
"1890","Hidro","38.88889","0.363995642"
"1890","Nuclear","0.0","0.0"
"1890","Otras renovables","0.0","0.0"
"1890","Petróleo","89.0","0.833030004"
"1890","Solar","0.0","0.0"
"1890","Total","10683.88889","100.0"
"1900","Biocombustibles","0.0","0.0"
"1900","Biomasa tradicional ","6111.0","50.37414936"
"1900","Carbón","5728.0","47.21700663"
"1900","Eólica","0.0","0.0"
"1900","Gas natural","64.0","0.52756432"
"1900","Hidro","47.22222","0.38926185"
"1900","Nuclear","0.0","0.0"
"1900","Otras renovables","0.0","0.0"
"1900","Petróleo","181.0","1.492017842"
"1900","Solar","0.0","0.0"
"1900","Total","12131.22222","100.0"
"1910","Biocombustibles","0.0","0.0"
"1910","Biomasa tradicional ","6389.0","40.75743722"
"1910","Carbón","8656.0","55.21934209"
"1910","Eólica","0.0","0.0"
"1910","Gas natural","142.0","0.90586259"
"1910","Hidro","91.666664","0.584770434"
"1910","Nuclear","0.0","0.0"
"1910","Otras renovables","0.0","0.0"
"1910","Petróleo","397.0","2.532587663"
"1910","Solar","0.0","0.0"
"1910","Total","15675.66666","100.0"
"1920","Biocombustibles","0.0","0.0"
"1920","Biomasa tradicional ","6944.0","38.4139258"
"1920","Carbón","9833.0","54.3957564"
"1920","Eólica","0.0","0.0"
"1920","Gas natural","233.0","1.288946531"
"1920","Hidro","177.77777","0.983459399"
"1920","Nuclear","0.0","0.0"
"1920","Otras renovables","0.0","0.0"
"1920","Petróleo","889.0","4.917911872"
"1920","Solar","0.0","0.0"
"1920","Total","18076.77777","100.0"
"1930","Biocombustibles","0.0","0.0"
"1930","Biomasa tradicional ","7222.0","35.984255"
