"iso3","anio","valor_en_twh"
"ARG","2000","0.053206038"
"ARG","2001","0.10612133"
"ARG","2002","0.10612133"
"ARG","2003","0.10612133"
"ARG","2004","0.106412075"
"ARG","2005","0.10612133"
"ARG","2006","0.35267237"
"ARG","2007","2.0078583"
"ARG","2008","7.112291"
"ARG","2009","11.965088"
"ARG","2010","19.893946"
"ARG","2011","25.844816"
"ARG","2012","26.502539"
"ARG","2013","23.838686"
"ARG","2014","30.584425"
"ARG","2015","23.461845"
"ARG","2016","32.768284"
"ARG","2017","36.231873"
"ARG","2018","31.703428"
"ARG","2019","28.55003"
"ARG","2020","16.743963"
"ARG","2021","24.716778"
"ARG","2022","27.614145"
"AUS","2003","0.53532314"
"AUS","2004","0.32180902"
"AUS","2005","0.32005984"
"AUS","2006","0.5920587"
"AUS","2007","1.1593293"
"AUS","2008","1.8793634"
"AUS","2009","2.695126"
"AUS","2010","2.101782"
"AUS","2011","2.5427177"
"AUS","2012","2.6933994"
"AUS","2013","2.845892"
"AUS","2014","2.9899483"
"AUS","2015","2.6403358"
"AUS","2016","1.4622647"
"AUS","2017","1.2355342"
"AUS","2018","1.5035336"
"AUS","2019","1.7374655"
"AUS","2020","1.4563833"
"AUS","2021","1.2313416"
"AUS","2022","1.3105061"
"AUT","1990","0.073269"
"AUT","1991","0.08024701"
"AUT","1992","0.08955101"
"AUT","1993","0.10118101"
"AUT","1994","0.067454"
"AUT","1995","0.13025601"
"AUT","1996","0.141886"
"AUT","1997","0.15351601"
"AUT","1998","0.16514601"
"AUT","1999","0.181428"
"AUT","2000","0.21282415"
"AUT","2001","0.21224266"
"AUT","2002","0.26530334"
"AUT","2003","0.318364"
"AUT","2004","0.58526635"
"AUT","2005","0.84897065"
"AUT","2006","1.273456"
"AUT","2007","2.5759044"
"AUT","2008","3.0956252"
"AUT","2009","4.2849255"
"AUT","2010","4.4873886"
"AUT","2011","4.459111"
"AUT","2012","3.9966114"
"AUT","2013","3.540612"
"AUT","2014","4.3583813"
"AUT","2015","4.8072314"
"AUT","2016","4.478492"
"AUT","2017","4.4122252"
"AUT","2018","4.4226027"
"AUT","2019","4.576807"
"AUT","2020","4.313216"
"AUT","2021","4.479076"
"AUT","2022","3.7537894"
"BEL","2005","0.0"
"BEL","2006","0.0"
"BEL","2007","0.0"
"BEL","2008","0.0"
"BEL","2009","1.5663053"
"BEL","2010","4.2494974"
"BEL","2011","4.906837"
"BEL","2012","5.2025642"
"BEL","2013","5.10835"
"BEL","2014","6.688181"
"BEL","2015","4.491274"
"BEL","2016","4.3256507"
"BEL","2017","5.181677"
"BEL","2018","4.935505"
"BEL","2019","5.2234054"
"BEL","2020","5.400577"
"BEL","2021","5.012553"
"BEL","2022","5.641094"
"BRA","1990","68.512"
"BRA","1991","76.815605"
"BRA","1992","70.370445"
"BRA","1993","68.25598"
"BRA","1994","74.95961"
"BRA","1995","76.39262"
"BRA","1996","85.02924"
"BRA","1997","93.43981"
"BRA","1998","85.30479"
"BRA","1999","78.68598"
"BRA","2000","65.01594"
"BRA","2001","69.79248"
"BRA","2002","76.622284"
"BRA","2003","88.292885"
"BRA","2004","89.07529"
"BRA","2005","97.43511"
"BRA","2006","108.2094"
"BRA","2007","139.81993"
"BRA","2008","174.39844"
"BRA","2009","171.59833"
"BRA","2010","189.93903"
"BRA","2011","163.06369"
"BRA","2012","166.94719"
"BRA","2013","193.97246"
"BRA","2014","204.10724"
"BRA","2015","218.91077"
"BRA","2016","206.00305"
"BRA","2017","207.05112"
"BRA","2018","248.83961"
"BRA","2019","266.04663"
"BRA","2020","255.50471"
"BRA","2021","242.87822"
"BRA","2022","254.02217"
"CAN","1998","0.0"
"CAN","1999","0.5779733"
"CAN","2000","1.2613883"
"CAN","2001","1.3259386"
"CAN","2002","1.3599371"
"CAN","2003","1.3599371"
"CAN","2004","1.363663"
"CAN","2005","1.4959308"
"CAN","2006","1.9186431"
"CAN","2007","5.599986"
"CAN","2008","6.008574"
"CAN","2009","8.729076"
"CAN","2010","9.353597"
"CAN","2011","11.039007"
"CAN","2012","10.829854"
"CAN","2013","11.604978"
"CAN","2014","13.591123"
"CAN","2015","13.804804"
"CAN","2016","14.523844"
"CAN","2017","13.846189"
"CAN","2018","13.150651"
"CAN","2019","14.46241"
"CAN","2020","13.642357"
"CAN","2021","13.512146"
"CAN","2022","13.268367"
"CHN","2001","0.053060666"
"CHN","2002","1.7684788"
"CHN","2003","4.8562317"
"CHN","2004","5.965346"
"CHN","2005","8.368024"
"CHN","2006","12.231146"
"CHN","2007","13.484257"
"CHN","2008","16.73106"
"CHN","2009","18.286425"
"CHN","2010","17.774601"
"CHN","2011","22.119545"
"CHN","2012","23.6831"
"CHN","2013","26.36082"
"CHN","2014","29.278551"
"CHN","2015","24.932436"
"CHN","2016","23.978706"
"CHN","2017","19.510063"
"CHN","2018","27.065264"
