"iso3","anio","valor_en_porcentaje"
"DZA","1965","4.7630677"
"DZA","1966","3.518747"
"DZA","1967","4.291954"
"DZA","1968","5.4861946"
"DZA","1969","3.1827633"
"DZA","1970","4.6656837"
"DZA","1971","2.4559188"
"DZA","1972","3.278343"
"DZA","1973","4.175826"
"DZA","1974","2.494738"
"DZA","1975","1.3782818"
"DZA","1976","1.4010222"
"DZA","1977","0.8817282"
"DZA","1978","0.6521151"
"DZA","1979","0.5792936"
"DZA","1980","0.4290016"
"DZA","1981","0.50294036"
"DZA","1982","0.5708701"
"DZA","1983","0.25644946"
"DZA","1984","0.5136736"
"DZA","1985","0.72826535"
"DZA","1986","0.2664045"
"DZA","1987","0.5174274"
"DZA","1988","0.17717436"
"DZA","1989","0.2249582"
"DZA","1990","0.1267387"
"DZA","1991","0.277607"
"DZA","1992","0.18375748"
"DZA","1993","0.35028014"
"DZA","1994","0.16257899"
"DZA","1995","0.18224756"
"DZA","1996","0.1288034"
"DZA","1997","0.074455895"
"DZA","1998","0.20617963"
"DZA","1999","0.1927434"
"DZA","2000","0.053235486"
"DZA","2001","0.065218486"
"DZA","2002","0.05167676"
"DZA","2003","0.228104"
"DZA","2004","0.2067869"
"DZA","2005","0.43411884"
"DZA","2006","0.16327195"
"DZA","2007","0.15990457"
"DZA","2008","0.1877543"
"DZA","2009","0.21278548"
"DZA","2010","0.11513415"
"DZA","2011","0.23525994"
"DZA","2012","0.22453195"
"DZA","2013","0.06476319"
"DZA","2014","0.11750259"
"DZA","2015","0.09681336"
"DZA","2016","0.14580713"
"DZA","2017","0.24701828"
"DZA","2018","0.28842947"
"DZA","2019","0.29497427"
"DZA","2020","0.30043116"
"DZA","2021","0.25449628"
"DZA","2022","0.2927589"
"ARG","1965","1.1026944"
"ARG","1966","1.0818663"
"ARG","1967","1.0765308"
"ARG","1968","1.2272897"
"ARG","1969","1.0651326"
"ARG","1970","1.3533598"
"ARG","1971","1.2702763"
"ARG","1972","1.2349532"
"ARG","1973","2.2839267"
"ARG","1974","4.342596"
"ARG","1975","5.64054"
"ARG","1976","5.2805696"
"ARG","1977","4.9611993"
"ARG","1978","7.0858197"
"ARG","1979","8.312162"
"ARG","1980","10.958725"
"ARG","1981","11.287144"
"ARG","1982","12.366886"
"ARG","1983","13.302724"
"ARG","1984","14.838512"
"ARG","1985","16.157017"
"ARG","1986","15.482304"
"ARG","1987","15.696147"
"ARG","1988","11.459444"
"ARG","1989","10.28527"
"ARG","1990","14.31952"
"ARG","1991","13.302305"
"ARG","1992","13.798865"
"ARG","1993","16.02163"
"ARG","1994","17.144554"
"ARG","1995","15.7267065"
"ARG","1996","13.445457"
"ARG","1997","15.912051"
"ARG","1998","14.55387"
"ARG","1999","12.121369"
"ARG","2000","14.791438"
"ARG","2001","18.851881"
"ARG","2002","18.739147"
