"iso3","anio","valor_en_twh"
"AFG","2000","0.0"
"AFG","2001","0.0"
"AFG","2002","0.0"
"AFG","2003","0.0"
"AFG","2004","0.0"
"AFG","2005","0.0"
"AFG","2006","0.0"
"AFG","2007","0.0"
"AFG","2008","0.0"
"AFG","2009","0.0"
"AFG","2010","0.0"
"AFG","2011","0.0"
"AFG","2012","0.0"
"AFG","2013","0.0"
"AFG","2014","0.0"
"AFG","2015","0.0"
"AFG","2016","0.0"
"AFG","2017","0.0"
"AFG","2018","0.0"
"AFG","2019","0.0"
"AFG","2020","0.0"
"AFG","2021","0.0"
"ALB","1990","0.0"
"ALB","1991","0.0"
"ALB","1992","0.0"
"ALB","1993","0.0"
"ALB","1994","0.0"
"ALB","1995","0.0"
"ALB","1996","0.0"
"ALB","1997","0.0"
"ALB","1998","0.0"
"ALB","1999","0.0"
"ALB","2000","0.0"
"ALB","2001","0.0"
"ALB","2002","0.0"
"ALB","2003","0.0"
"ALB","2004","0.0"
"ALB","2005","0.0"
"ALB","2006","0.0"
"ALB","2007","0.0"
"ALB","2008","0.0"
"ALB","2009","0.0"
"ALB","2010","0.0"
"ALB","2011","0.0"
"ALB","2012","0.0"
"ALB","2013","0.0"
"ALB","2014","0.0"
"ALB","2015","0.0"
"ALB","2016","0.0"
"ALB","2017","0.0"
"ALB","2018","0.0"
"ALB","2019","0.0"
"ALB","2020","0.0"
"ALB","2021","0.0"
"DZA","1965","0.0"
"DZA","1966","0.0"
"DZA","1967","0.0"
"DZA","1968","0.0"
"DZA","1969","0.0"
"DZA","1970","0.0"
"DZA","1971","0.0"
"DZA","1972","0.0"
"DZA","1973","0.0"
"DZA","1974","0.0"
"DZA","1975","0.0"
"DZA","1976","0.0"
"DZA","1977","0.0"
"DZA","1978","0.0"
"DZA","1979","0.0"
"DZA","1980","0.0"
"DZA","1981","0.0"
"DZA","1982","0.0"
"DZA","1983","0.0"
"DZA","1984","0.0"
"DZA","1985","0.0"
"DZA","1986","0.0"
"DZA","1987","0.0"
"DZA","1988","0.0"
"DZA","1989","0.0"
"DZA","1990","0.0"
"DZA","1991","0.0"
"DZA","1992","0.0"
"DZA","1993","0.0"
"DZA","1994","0.0"
"DZA","1995","0.0"
"DZA","1996","0.0"
"DZA","1997","0.0"
"DZA","1998","0.0"
"DZA","1999","0.0"
"DZA","2000","0.0"
"DZA","2001","0.0"
"DZA","2002","0.0"
"DZA","2003","0.0"
"DZA","2004","0.0"
"DZA","2005","0.0"
"DZA","2006","0.0"
"DZA","2007","0.0"
"DZA","2008","0.0"
"DZA","2009","0.0"
"DZA","2010","0.0"
"DZA","2011","0.0"
"DZA","2012","0.0"
"DZA","2013","0.0"
"DZA","2014","0.0"
"DZA","2015","0.0"
"DZA","2016","0.0"
"DZA","2017","0.0"
"DZA","2018","0.0"
"DZA","2019","0.0"
"DZA","2020","0.0"
"DZA","2021","0.0"
"ASM","2000","0.0"
"ASM","2001","0.0"
"ASM","2002","0.0"
"ASM","2003","0.0"
"ASM","2004","0.0"
"ASM","2005","0.0"
"ASM","2006","0.0"
"ASM","2007","0.0"
"ASM","2008","0.0"
"ASM","2009","0.0"
"ASM","2010","0.0"
"ASM","2011","0.0"
"ASM","2012","0.0"
"ASM","2013","0.0"
"ASM","2014","0.0"
"ASM","2015","0.0"
"ASM","2016","0.0"
"ASM","2017","0.0"
"ASM","2018","0.0"
"ASM","2019","0.0"
"ASM","2020","0.0"
